"thres","X1","X2","X3","X1.1","X2.1","X3.1"
"432",81.83,0.79,0.61,0.92,0.05,0.01,0.1
"433",82.02,0.79,0.61,0.92,0.05,0.01,0.1
"434",82.21,0.79,0.61,0.92,0.05,0.01,0.1
"435",82.39,0.79,0.61,0.92,0.05,0.01,0.1
"436",82.58,0.79,0.61,0.92,0.05,0.01,0.1
"437",82.76,0.79,0.61,0.92,0.05,0.01,0.1
"438",82.95,0.79,0.61,0.92,0.05,0.01,0.1
"439",83.13,0.79,0.61,0.92,0.05,0.01,0.1
"440",83.32,0.79,0.61,0.92,0.05,0.01,0.1
"441",83.5,0.79,0.61,0.92,0.05,0.01,0.1
"442",83.69,0.79,0.61,0.92,0.05,0.01,0.1
"443",83.87,0.79,0.61,0.92,0.05,0.01,0.1
"444",84.06,0.79,0.61,0.92,0.05,0.01,0.1
"445",84.24,0.79,0.61,0.92,0.05,0.01,0.1
"446",84.43,0.79,0.61,0.92,0.05,0.01,0.1
